symbol,timestamp,open,high,low,close,volume,trade_count,vwap
QQQ,2022-06-27 04:00:00+00:00,296.0,296.5799,275.78,282.13,311704044.0,2092637.0,284.340722
QQQ,2022-07-04 04:00:00+00:00,278.31,296.75,276.7501,295.35,245332320.0,1688602.0,289.210976
QQQ,2022-07-11 04:00:00+00:00,292.88,293.11,279.8,291.87,315394539.0,2111601.0,287.197107
QQQ,2022-07-18 04:00:00+00:00,294.72,308.55,288.2,301.99,298175689.0,2046322.0,299.860706
QQQ,2022-07-25 04:00:00+00:00,302.02,316.39,293.54,315.46,275960994.0,2012811.0,304.496103
QQQ,2022-08-01 04:00:00+00:00,313.65,324.72,311.8401,321.75,244594421.0,1802442.0,319.083933
QQQ,2022-08-08 04:00:00+00:00,322.69,330.585,315.42,330.39,225043039.0,1679841.0,323.867326
QQQ,2022-08-15 04:00:00+00:00,329.42,334.4209,322.08,322.86,223602073.0,1488786.0,328.711539
QQQ,2022-08-22 04:00:00+00:00,318.5,321.51,307.35,307.44,239036547.0,1559266.0,314.92682
QQQ,2022-08-29 04:00:00+00:00,304.62,307.22,292.95,295.17,275635869.0,1923621.0,300.151822
QQQ,2022-09-05 04:00:00+00:00,295.66,307.6,290.87,307.09,220487097.0,1354835.0,298.672384
QQQ,2022-09-12 04:00:00+00:00,308.5,311.08,285.62,289.32,329017507.0,2178261.0,295.430492
QQQ,2022-09-19 04:00:00+00:00,286.1,293.95,272.02,275.51,327329766.0,2222199.0,283.999142
QQQ,2022-09-26 04:00:00+00:00,275.03,281.25,267.1,267.26,383873938.0,2246038.0,274.105851
QQQ,2022-10-03 04:00:00+00:00,269.07,284.18,267.53,269.1,312318497.0,1895301.0,276.917753
QQQ,2022-10-10 04:00:00+00:00,269.3,271.81,254.26,260.74,370511118.0,2479208.0,264.347815
QQQ,2022-10-17 04:00:00+00:00,266.84,277.21,266.74,275.42,329195773.0,2147080.0,271.029565
QQQ,2022-10-24 04:00:00+00:00,275.69,284.6,271.97,281.22,311101590.0,2092754.0,278.418401
QQQ,2022-10-31 04:00:00+00:00,278.92,282.07,259.08,264.68,325626347.0,2336717.0,269.577096
QQQ,2022-11-07 05:00:00+00:00,265.75,288.64,263.03,287.96,346717846.0,2306578.0,274.14744
QQQ,2022-11-14 05:00:00+00:00,285.86,293.26,280.72,284.82,290422013.0,1929631.0,286.565677
QQQ,2022-11-21 05:00:00+00:00,283.4,289.46,280.46,286.92,145958520.0,969426.0,285.029685
QQQ,2022-11-28 05:00:00+00:00,284.9,295.75,279.17,292.55,258930329.0,1749226.0,287.54766
QQQ,2022-12-05 05:00:00+00:00,290.38,291.68,278.7801,282.04,235298295.0,1517290.0,283.628953
QQQ,2022-12-12 05:00:00+00:00,282.22,296.875,272.61,274.25,315138351.0,2138861.0,283.478256
QQQ,2022-12-19 05:00:00+00:00,273.87,274.78,262.455,267.36,245129639.0,1501545.0,268.672279
QQQ,2022-12-26 05:00:00+00:00,266.74,267.405,259.73,266.28,171451026.0,1126669.0,264.045325
QQQ,2023-01-02 05:00:00+00:00,268.65,270.155,260.34,268.8,192601095.0,1369455.0,264.826933
QQQ,2023-01-09 05:00:00+00:00,270.83,281.219,268.97,280.97,233764285.0,1643727.0,275.559724
QQQ,2023-01-16 05:00:00+00:00,280.77,284.69,273.89,282.68,190572119.0,1221052.0,279.296688
QQQ,2023-01-23 05:00:00+00:00,283.54,298.26,281.18,296.26,259114100.0,1680172.0,289.709477
QQQ,2023-01-30 05:00:00+00:00,292.93,313.68,289.89,306.18,326692225.0,2249604.0,301.600861
QQQ,2023-02-06 05:00:00+00:00,303.51,311.03,297.25,299.7,267255841.0,1868692.0,304.161782
QQQ,2023-02-13 05:00:00+00:00,301.13,309.27,298.1,301.16,266293181.0,1860591.0,304.161622
QQQ,2023-02-20 05:00:00+00:00,297.26,298.73,290.05,291.85,243826639.0,1678139.0,294.03684
QQQ,2023-02-27 05:00:00+00:00,295.07,299.92,288.37,299.68,272438845.0,2108768.0,293.977624
QQQ,2023-03-06 05:00:00+00:00,300.94,304.0,287.38,288.55,346049589.0,2734177.0,295.792549
QQQ,2023-03-13 04:00:00+00:00,286.73,309.15,285.19,305.36,442799730.0,3933060.0,298.262531
QQQ,2023-03-20 04:00:00+00:00,304.26,315.25,302.01,310.89,315753467.0,2840692.0,309.077234
QQQ,2023-03-27 04:00:00+00:00,311.6,321.17,304.774,320.93,275181448.0,2127100.0,312.632774
QQQ,2023-04-03 04:00:00+00:00,318.77,321.63,312.82,318.05,205082761.0,1666083.0,317.410432
QQQ,2023-04-10 04:00:00+00:00,315.07,320.36,312.565,318.57,260672790.0,1971114.0,316.577112
QQQ,2023-04-17 04:00:00+00:00,318.15,321.42,314.1,316.61,252194965.0,1827212.0,317.513895
QQQ,2023-04-24 04:00:00+00:00,316.38,322.65,309.89,322.56,284052094.0,2043194.0,316.179911
QQQ,2023-05-01 04:00:00+00:00,322.09,323.76,315.115,322.89,261736233.0,2132816.0,319.851353
QQQ,2023-05-08 04:00:00+00:00,322.42,327.17,321.315,325.03,222992772.0,1697261.0,323.968895
QQQ,2023-05-15 04:00:00+00:00,325.51,338.205,323.96,336.51,247941653.0,1958213.0,331.87005
QQQ,2023-05-22 04:00:00+00:00,336.25,349.245,329.56,348.4,285695925.0,2244199.0,338.204032
QQQ,2023-05-29 04:00:00+00:00,352.71,355.83,346.51,354.65,252066327.0,1997435.0,351.032586
QQQ,2023-06-05 04:00:00+00:00,354.43,357.66,348.18,354.5,258296376.0,2037242.0,353.608895
QQQ,2023-06-12 04:00:00+00:00,356.19,372.85,355.2,367.93,323614228.0,2414116.0,365.115789
QQQ,2023-06-19 04:00:00+00:00,365.95,368.32,360.22,362.54,199194594.0,1488873.0,364.003731
QQQ,2023-06-26 04:00:00+00:00,362.0,370.49,357.59,369.42,252375187.0,1851163.0,363.939041
QQQ,2023-07-03 04:00:00+00:00,370.07,372.01,364.52,366.24,150294097.0,1189062.0,368.382574
